Description,UNSPSC
bleach paperboard,14120000
unbleached paperboard,14120000
cardboard,14120000
package paper,14120000
fiberboard,14120000
corrugate fiberboard container board ccm,14120000
volatile corrosion inhibitor vci paper,14120000
kaolin treat paperboard,14120000
composite paper paperboard without surface coating,14120000
test liner paperboard,14120000
unbleached crepe paper,14120000
semi bleach crepe paper,14120000
wet strength tissue paper,14120000
acid free tissue paper,14120000
kraft tissue paper,14120000
paper bond film,14120000
cylinder paper multi layer heavyweight,14120000
laminate aluminum foil paper,14120000
clay coat paper,14120000
polyethylene coat paper,14120000
polyester coat paper,14120000
silicone coat paper,14120000
latex treat coated paper,14120000
waxed paper,14120000
butcher paper,14120000
freezer paper,14120000
mask paper,14120000
carbon paper,14120000
sensitize copying paper,14120000
photography paper,14120000
satin paper,14120000
super calendar kraft paper,14120000
machine finish glazed kraft paper,14120000
non treat uncoated paper,14120000
non treat crepe paper,14120000
latex treat crepe paper,14120000
latex treat uncoated paper,14120000
corrugated base paper,14120000
seed germinate paper,14120000
tea bag paper,14120000
transfer paper,14120000
impressed stamp paper,14120000
propane,15110000
methane,15110000
propylene,15110000
ethylene,15110000
butane,15110000
acetylene,15110000
water gas producer,15110000
coal gas,15110000
methylacetylene propadiene mapp gas,15110000
liquify petroleum gas,15110000
liquefied natural gas lng,15110000
compressed natural gas cng,15110000
fuel thickener,15110000
ice inhibitor fuel system,15110000
fuel treatment,15110000
fuel cleaner,15110000
fuel stabilizer,15110000
octane boost,15110000
cetane boost,15110000
engine oil,15120000
cut oil,15120000
gear oil,15120000
hydraulic oil,15120000
transformer oil insulating,15120000
transmission oil,15120000
brake oil,15120000
antigalling,15120000
assembly paste,15120000
anti adhesive,15120000
graphite lubricant,15120000
spray lubricant,15120000
anti seize stain compound,15120000
leak stop,15120000
lubricate soap,15120000
damp fluid,15120000
watch lubricating oil,15120000
general purpose lubricant,15120000
pump lubricating oil,15120000
weapon lubricate oil,15120000
lens preparation fluid,15120000
temper oil,15120000
quench oil,15120000
lubricant food processing equipment,15120000
turbine oil,15120000
fire resistant hydraulic fluid,15120000
refrigerate machine oil,15120000
heat transfer oil fluid,15120000
moisture repellent,15120000
anti corrosion lubricant,15120000
rust remover,15120000
rust proof preparation,15120000
anti weld paste,15120000
penetrating oil,15120000
antifreeze,15120000
silicone grease,15120000
grease,15120000
fluoropolymer grease,15120000
wool grease,15120000
thermal grease,15120000
continuous mining equipment,20100000
longwall shear,20100000
coal cutter,20100000
rock cutter,20100000
cutter chain mining,20100000
cutter bar,20100000
feeder,20100000
drain hole screen,20100000
gearmotors,20100000
apron feeder,20100000
weigh belt feeder,20100000
electromagnetic vibro feeder,20100000
electromechanical vibro feeder,20100000
rock crusher,20100000
roll crusher,20100000
cone crusher,20100000
gyratory crusher,20100000
impact crusher,20100000
jaw crusher,20100000
crushing plant,20100000
rod mill,20100000
ball mill,20100000
pulverize machinery,20100000
rock breaker,20100000
earth grinder,20100000
cyclone vortex grinder,20100000
jaw plate,20100000
crusher bit,20100000
crusher hammer,20100000
cable bolters,20100000
scissor bolters,20100000
boom bolters,20100000
shotcrete spraying equipment,20100000
mechanize ground support system spare part accessory,20100000
commutator,20100000
blockholer drill load system,20100000
repetitive impact system,20100000
secondary rock breaking system spare part accessory,20100000
hole drill ith dth long,20100000
top hammer long hole drill,20100000
pneumatic shaft sinking jumbos,20100000
hydraulic shaft sinking jumbos,20100000
pneumatic horizontal development jumbos,20100000
hydraulic horizontal development jumbos,20100000
core drill,20100000
exploration development system spare part accessory,20100000
pneumatic rock drill,20100000
hydraulic rock drill,20100000
hand hold rock drill,20100000
rock drill spare part accessory,20100000
steel drill rod,20100000
vacuum drill rod,20100000
ammonium nitrate fuel oil anfo loading machinery,20100000
emulsion load machinery,20100000
explosive loading machinery spare part accessory,20100000
personnel carrier,20100000
crane vehicle,20100000
flat deck material carrier,20100000
bulk material carrier,20100000
utility service vehicle,20100000
elevate platform vehicle scissor lift,20100000
underground mining service vehicle spare part accessory,20100000
water well drill equipment,20110000
uranium exploration equipment,20110000
bore sink machinery,20110000
downhole assembly machinery,20110000
hammer drill,20110000
crawler drill,20110000
pneumatic vibrator,20110000
tunnel machinery,20110000
strike hammer,20110000
sinker drill,20110000
sewer inspection machinery,20110000
rotary drill,20110000
drilling rig,20110000
long hole drill,20110000
drill bit,20110000
drifter,20110000
derrick,20110000
drilling carriage,20110000
downhole fishing pole,20110000
well drill bit cone,20110000
hammer grab,20110000
case oscillator,20110000
reverse circulation drill,20110000
diaphragm wall clamshell,20110000
audio visual instrument well inspection,20110000
packer tube anchor,20110000
drilling casing,20110000
drilling screen,20110000
well point,20110000
drilling wedge,20110000
drill tool adapter,20110000
drill stem,20110000
well drill tool accessory kit,20110000
thru tube packer repair kit,20110000
thru tube part accessory,20110000
wash pipe,20110000
drill fingerboard,20110000
coil tubing connector,20110000
well site pit liner,20110000
blend unit,20120000
bridge plug,20120000
bulk liquid cement equipment,20120000
cement bulk material equipment,20120000
cement density sensor,20120000
cement float bulk unit,20120000
cement float equipment stage tool,20120000
cement float equipment wiper plug,20120000
cement pump unit,20120000
cement retainer,20120000
centralizers,20120000
express latch coupler,20120000
float collar,20120000
float shoe,20120000
oilfield cementing tool,20120000
retrievable cementing packer,20120000
subsea cement head,20120000
surface cement head,20120000
bow spring centralizer,20120000
blade centralizer,20120000
bow spring centralizer sub,20120000
cement stage tool kit,20120000
cement float equipment kit,20120000
cement retainer kit,20120000
centralizer part accessory,20120000
land collar,20120000
torque drag reduction tool,20120000
torque drag reduction tool part accessory,20120000
bridge plug part accessory,20120000
bulk liquid fracturing equipment,20120000
fracture bulk proppant equipment,20120000
fracture control unit,20120000
fracture density sensor,20120000
fracture manifold unit,20120000
fracture proppant conveying equipment,20120000
fracture pump unit,20120000
fracture slurry blend unit,20120000
gel blend unit,20120000
fracture missile,20120000
pump integrity monitor,20120000
fracture service packer,20120000
stimulation pump unit,20120000
blank plug,20120000
floater,20120000
frac pack system,20120000
gravel pack system,20120000
guide shoe,20120000
hook nipple,20120000
make sub,20120000
production tube overshots,20120000
sand control blank,20120000
sand control bulk liquid equipment,20120000
sand control bulk proppant equipment,20120000
sand control density sensor,20120000
sand control manifold unit,20120000
sand control proppant conveying equipment,20120000
sand control pump unit,20120000
sand control screen,20120000
sand control slurry blend unit,20120000
sand detector,20120000
seal assembly locator,20120000
shear joint,20120000
sleeve shifting tool,20120000
slide sleeve,20120000
velocity string,20120000
sand control ring,20120000
slot pipe pattern,20120000
sand control screen part accessory,20120000
ball catcher sub,20120000
blast joint,20120000
blast nipple,20120000
completion bull plug,20120000
circulation production device,20120000
completion test equipment,20120000
control line protector,20120000
deflection tool,20120000
completion expansion joint,20120000
flow coupling,20120000
gas lift equipment,20120000
hanger landing tool,20120000
completion hydraulic pump,20120000
hydraulic setting tool,20120000
injection system,20120000
landing nipple,20120000
liner hanger,20120000
packer pulling tool,20120000
packer running tool,20120000
production packer,20120000
pump flow line equipment,20120000
completion safety joint,20120000
completion seal assembly,20120000
seal bore polish,20120000
side pocket mandrel,20120000
actuator linear valve,31250000
travel joint,20120000
tube anchor,20120000
twin flow assembly,20120000
inflatable packer,20120000
actuator rotary ball valve,31250000
case hole completion repair kit,20120000
slide sleeve repair kit,20120000
set adapter kit,20120000
plunger lift system part accessory,20120000
actuator rotary blow valve,31250000
adapter valve circuit,31250000
production packer mandrel,20120000
annulus case packer sub,20120000
liner set tool,20120000
drag block,20120000
liner packer set tool kit,20120000
liner system repair kit,20120000
production packer part accessory,20120000
liner top packer,20120000
liner set collar,20120000
junk bonnet,20120000
plunger lift equipment,20120000
gas lift mandrel,20120000
admission valve rack,26100000
blowout preventers,20120000
blowout preventer control,20120000
case scraper,20120000
drill collar,20120000
core equipment,20120000
drill pipe thread protector,20120000
drill pipe tool joint,20120000
drill pipe,20120000
gauge ring,20120000
hole opener,20120000
hole reamer,20120000
downhole shock absorber,20120000
downhole stabilizer,20120000
drilling sub,20120000
thruster,20120000
wellbore hole reamer part accessory,20120000
rotate control head,20120000
rotate control head part accessory,20120000
blowout preventer part accessory,20120000
downhole shock absorber part accessory,20120000
case scraper part accessory,20120000
drilling jar,20120000
drill jar part accessory,20120000
fix cutter drill bit,20120000
natural diamond drill bit,20120000
nozzle drill bit,20120000
pdc bit,20120000
roller cone button insert drill bit,20120000
roller steel tooth drill bit,20120000
core bit,20120000
bit block,20120000
continuous mining bit,20120000
feeder bit,20120000
longwall bit,20120000
roof drill bit,20120000
drill bit accessory,20120000
geosteering tool,20120000
mud motor,20120000
rotary steerable tool,20120000
directional drilling surface control system,20120000
straight hole directional drilling tool,20120000
log drilling tool lwd,20120000
log drilling tool lwd part accessory,20120000
directional drilling stabilizer,20120000
rotary steerable tool part accessory,20120000
directional drilling sub,20120000
directional drilling thruster,20120000
directional drilling drill collar,20120000
mud motor part accessory,20120000
acoustic tool,20120000
drill mud control instrument,20120000
drill performance measurement tool,20120000
flow measurement equipment,20120000
nuclear magnetic resonance tool,20120000
nuclear tool,20120000
production logging equipment,20120000
resistivity tool,20120000
survey system,20120000
telemetry system,20120000
ultrasonic tool,20120000
well log bottom hole pressure equipment,20120000
well log downhole test equipment,20120000
well log unit,20120000
bulk density log,20120000
optical sense downhole cable,20120000
optical sense mandrel accessory,20120000
optical sense surface cable,20120000
case inspection tool accessory,20120000
freepoint indicator tool accessory,20120000
radiation survey meter,20120000
gamma ray tool part accessory,20120000
well image tool part,20120000
drift bar,20120000
drift sleeve,20120000
drift rabbit,20120000
test fixture,20120000
test nipple,20120000
test plug,20120000
capsule gun,20120000
case gun,20120000
deployment head,20120000
perforate explosive,20120000
fire head,20120000
gun adapter,20120000
high shot density gun,20120000
perforate bull plug,20120000
plug setting tool,20120000
perforate position equipment,20120000
scallop gun,20120000
tandem sub,20120000
tube perforation gun accessory,20120000
tube perforation gun,20120000
balance vent sub,20120000
flare boom,20120000
flare burner,20120000
case hole test tool,20120000
choke manifold,20120000
divert manifold,20120000
flowhead basket,20120000
flowhead swivel,20120000
flowheads,20120000
formation shut tool,20120000
gas flare,20120000
mud gas analyzer,20120000
oil sampler,20120000
well test separator,20120000
well test surface piping,20120000
surge tank,20120000
well test downhole tool,20120000
slickline adapter head,20120000
slickline backoffs,20120000
slickline bell guide,20120000
slickline blind box,20120000
slickline bottom hole pressure equipment,20120000
slickline caliper tool,20120000
slickline cement dump bailing equipment,20120000
slickline chemical cutter,20120000
slickline clamp tool string centralizers,20120000
slickline clamp wireline centralizers,20120000
slickline collar locator,20120000
slickline collector,20120000
slickline colliding tool,20120000
slickline crossover,20120000
slickline depth measurement equipment,20120000
slickline dewar flask,20120000
slickline dipmeter tool,20120000
slickline directional tool,20120000
slickline go devil tool,20120000
slickline hole puncher,20120000
slickline jet cutter,20120000
slickline junk shot,20120000
slickline kickover tool,20120000
slickline knuckle joint,20120000
slickline lead impression block,20120000
slickline locator mandrel,20120000
slickline lock mandrel,20120000
slickline lubricator,20120000
slickline mechanical bailers,20120000
slickline mechanical plugbacks,20120000
slickline tool,20120000
slickline paraffin scrapper,20120000
slickline rope socket,20120000
slickline run pull prong,20120000
slickline severing tool,20120000
slickline sheaf floor block,20120000
slickline pull tool accessory,20120000
slickline pulling tool,20120000
slickline running tool,20120000
slickline unit,20120000
slickline wire,20120000
slickline sonic tool,20120000
slickline spacer bar,20120000
slickline swage,20120000
slickline tension device,20120000
slickline tube plug,20120000
slickline ultrasonic tool,20120000
wireline grab,20120000
wireline jar,20120000
wireline scraper,20120000
wireline spear,20120000
wireline stem,20120000
air valve,40141651
wireline preventers,20120000
wireline jar accelerator,20120000
test dart,20120000
slickline run tool part accessory,20120000
wireline broach,20120000
air volume control valve,40100000
wireline bell guide,20120000
wire finder,20120000
wireline tool string,20120000
slickline centralizer part accessory,20120000
magnetic decentralizer,20120000
wireline pull tool,20120000
wireline mandrel,20120000
wireline set tool,20120000
wireline crossover,20120000
slickline centralizer,20120000
wireline swivel joint,20120000
slickline kickover tool part accessory,20120000
cable thumpers,20120000
oilfield production evaporators,20120000
hipot tester,20120000
oilfield lap machine,20120000
motor end lift,20120000
oil dielectric tester,20120000
oil vacuum fill unit,20120000
oilfield production shaft straightener,20120000
oilfield production spoolers,20120000
vibration analyzer,20120000
blaster tool,20120000
coil tube truck crane unit,20120000
coil tube unit,20120000
coil tube hose package,20120000
coil tube inflatable system,20120000
coil tube injector head,20120000
coil tube lifting equipment,20120000
operator house,20120000
coil tube power pack,20120000
coil tubing reel,20120000
coil tube spooling reel,20120000
tube guide,20120000
wellhead hookup,20120000
wellhead support structure,20120000
oilfield coil tubing,20120000
coil tube tool string,20120000
coil tubing centralizer,20120000
mud agitator,20120000
mud tank,20120000
air drill equipment,20120000
barge rig,20120000
fluid diverters,20120000
drawworks,20120000
drill floor equipment,20120000
drill swivel,20120000
drill rig ship,20120000
drill rig elevator,20120000
drill rig bail,20120000
hydraulic workover unit,20120000
drill rig jack system,20120000
jackup marine drilling rig,20120000
kelly bushing,20120000
angle globe valve,40140000
kelly wiper,20120000
kelly,20120000
land drilling rig,20120000
mud cleaning equipment,20120000
mud manifold,20120000
mud mixer,20120000
pipe handling equipment,20120000
platform drilling rig,20120000
power swivel top drive,20120000
rig skid,20120000
drill rig riser,20120000
drill rig rotary table,20120000
self elevate workover platform,20120000
semi submersible drilling rig,20120000
drill floor slip,20120000
makeup tongs,20120000
iron roughneck,20120000
travel equipment,20120000
workover boat,20120000
workover rig,20120000
shale shaker,20120000
mud degassers,20120000
crown block,20120000
travel block,20120000
mud desanders,20120000
mud dessilters,20120000
power tongs,20120000
pipe handle equipment part accessory,20120000
stab board,20120000
lift sub plug,20120000
horizontal makeup device buck unit part accessory,20120000
well case spider,20120000
hydraulic power unit,20120000
surface data log conduit,20120000
surface data logging sensor,20120000
surface data log unit,20120000
multilateral casing,20120000
multilateral junction,20120000
multilateral packer,20120000
multilateral packer part accessory,20120000
case exit set tool,20120000
case exit whipstock,20120000
slot expandable set tool,20120000
expandable sand screen hanger repair kit,20120000
expandable liner,20120000
weldable liner,20120000
drill shoe,20120000
drill shoe part accessory,20120000
drilling spear,20120000
drill spear part accessory,20120000
filtration control agent,20130000
fluid spacers,20130000
lose circulation agent,20130000
oil base mud,20130000
rate penetration enhancer,20130000
spot fluid,20130000
synthetic base mud,20130000
mud thin agent,20130000
water base mud,20130000
mud weight agent,20130000
divalent brine,20130000
monovalent brine,20130000
wellhead actuator,20140000
wellhead beam pump,20140000
wellhead flow line,20140000
ball check valve,40140000
wellhead production choke,20140000
wellhead sub surface flow christmas tree,20140000
wellhead surface flow christmas tree,20140000
ball valve,40140000
tube head adapter,20140000
case head housing,20140000
tube head spool,20140000
case head spool,20140000
wellhead tee cross,20140000
wellhead land base,20140000
wellhead carrier body,20140000
wellhead hanger,20140000
paraffin injection system,20140000
production desanding equipment,20140000
downhole jet pump,20140000
downhole jet pump part accessory,20140000
drill tube,20140000
tube stop,20140000
electric downhole pump,20140000
downhole progressive cavity pump,20140000
pneumatic export pump,20140000
well production gas turbine meter,20140000
oil well production gas treating equipment,20140000
oil well glycol regenerators,20140000
oil well heater treater,20140000
electrical line heater,20140000
pneumatic methanol injection skid,20140000
subsea production wellhead equipment,20140000
subsea production manifold system,20140000
vertical annular separation pump system,20140000
subsea christmas tree component,20140000
subsea control system,20140000
oil field water centrifuge,20140000
wireless production control system,20140000
sucker rod pump jack,20140000
rod pump,20140000
mechanical rod pump,20140000
pump frame extension assembly,20140000
crank arm assembly,20140000
equalizer pitman assembly,20140000
horsehead assembly,20140000
samson post assembly,20140000
walk beam assembly,20140000
hanger bar assembly,20140000
oil water separator,20140000
oil storage tank,20140000
fiberglass hold tank,20140000
steel hold tank,20140000
plastic hold tank,20140000
air receiver tank,20140000
alloy steel sucker rod,20140000
pony rod,20140000
continuous sucker rod,20140000
continuous sucker rod pin end,20140000
sucker rod shear couple,20140000
progressive cavity pump sucker rod,20140000
pipeline pig,20140000
interior pipeline inspection equipment,20140000
interior pipeline robotic cutter,20140000
umbilical termination assembly,20140000
umbilical riser flowline,20140000
umbilical unit,20140000
subsea jumper assembly,20140000
subsea run tool,20140000
subsea manifold,20140000
subsea connection system,20140000
subsea jumper installation tool,20140000
subsea flexible riser,20140000
subsea flexible pipe pipeline,20140000
subsea line pipe,20140000
subsea pipe coat insulation cathodic protection,20140000
subsea buoyancy equipment module,20140000
subsea flange,20140000
subsea fitting,20140000
vortex induce vibration viv suppression equipment,20140000
subsea flow meter single phase,20140000
subsea flow meter multi phase,20140000
subsea wet gas meter,20140000
ram equipment,22100000
road wideners,22100000
vibratory plate,22100000
asphalt finisher,22100000
chip spreader,22100000
road pavers,22100000
cold planer,22100000
pave material mixer,22100000
aggregate spreader,22100000
bituminous material distributor,22100000
road rooter,22100000
road surface heater planer,22100000
concrete pave strike offs,22100000
pave breaker,22100000
curb machine,22100000
grout machine,22100000
trackway surface outfit lay mechanism,22100000
scrub machine,22100000
joint cleaning reface machine,22100000
asphalt distributor,22100000
asphalt recycler,22100000
concrete pave finishing machine,22100000
road mark machine,22100000
concrete surfacing machine,22100000
asphalt mixing plant,22100000
asphalt melter,22100000
aggregate washer,22100000
aggregate dryer,22100000
roadmarking remover,22100000
pile driver guide,22100000
earthmoving shovel,22100000
earthmoving bucket part accessory,22100000
blade tooth cut edge,22100000
scarifiers,22100000
track link shoe part,22100000
dipper,22100000
taglines,22100000
ripper,22100000
grapple,22100000
snowplow attachment,22100000
pave breaker tool accessory,22100000
pile driver tool part accessory,22100000
backhoe boom section,22100000
tamper part repair kit,22100000
batch plant feeder,22100000
construction machinery conversion kit,22100000
earth move moldboard,22100000
grader control system,22100000
grader frame saddle,22100000
trencher crumber shoe,22100000
stake driver bit accessory,22100000
bucket tooth,22100000
bucket side cutter,22100000
hydraulic breaker chisel,22100000
manlift personnel lift,22100000
platform lift,22100000
articulate boom lift,22100000
telescope boom lift,22100000
concrete mixer plant,22100000
plaster mortar mixer,22100000
rotary tiller mixer,22100000
cure machine,22100000
concrete spreader,22100000
shore equipment,22100000
trench brace,22100000
cardboard band drain wick,22100000
demolition equipment kit,22100000
wreck ball,22100000
cop machine,23100000
drilling machine,23100000
broach machine,23100000
bend machine,23100000
bore machine,23100000
grind machine,23100000
mold machine,23100000
cut machine,23100000
sand machine,23100000
polish machine,23100000
turn machine,23100000
saw machine,23100000
mill machine,23100000
plan machine,23100000
engrave machine,23100000
glass bead peener machine,23100000
grit blast machine,23100000
shot peen machine,23100000
robot machine,23100000
ram electro discharge machine,23100000
wire cathode electrode discharge machine,23100000
chip breaker,23100000
oscillate spindle sander,23100000
drum sander,23100000
glue roller spreader,23100000
dovetail machine,23100000
combination woodworking machine,23100000
tenoner tenoning machine,23100000
cold press,23100000
edge bander,23100000
finger jointing machine,23100000
dowel machine,23100000
belt disc sander,23100000
woodworking jointer,23100000
gain machine,23100000
machine make wood music instrument,23100000
abrasive compound,23130000
felt wheel,23130000
grinding wheel,23130000
polish compound,23130000
polish head,23130000
polish wheel,23130000
sand cloth,23130000
sand drum,23130000
tumbler polisher,23130000
tumble supply medium,23130000
water swivel,23130000
water tray,23130000
sand block,23130000
mount stone,23130000
grind wheel dresser,23130000
faceting accessory,23130000
faceting machine,23130000
faceting lap,23130000
faceting saw,23130000
cabbing accessory,23130000
cabbing belt,23130000
cabbing disc,23130000
cabochon machine,23130000
leather flesh machine,23140000
leather tan machine,23140000
leather dye machine,23140000
leather degrease machine,23140000
leather press,23140000
sammying machine,23140000
slicker,23140000
dehairing machine,23140000
leather cut machine,23140000
leather rivet machine,23140000
leather nail machine,23140000
leatherworking workshop equipment,23140000
blow molding machine,23150000
coat machine,23150000
extruders,23150000
injection mold machine,23150000
rubber plastic press,23150000
thermo form machine,23150000
vacuum mold machine,23150000
vulcanize machine,23150000
plastic cutting machinery,23150000
plastic grind machinery,23150000
rubber plastic mill,23150000
rubber plastic extrusion dy,23150000
plastic injection mold,23150000
thermoforming mold,23150000
ejector pin,23150000
mold decoration imd cylinder,23150000
dip molding equipment,23150000
urethane foam mold processing equipment,23150000
rotational molding equipment,23150000
blower dryer,23150000
crusher,23150000
fusion weld glass draw machine,23150000
grind polish machine,23150000
material molding machine,23150000
press,23150000
sifter,23150000
glass blowing instrument,23150000
lens grind machine,23150000
lens measure equipment,23150000
lens polish equipment,23150000
lens test equipment,23150000
optical vacuum coat equipment,23150000
corona treater,23150000
flame treater,23150000
vibratory separation equipment part screen,23150000
stationary separation equipment part screen,23150000
air classification equipment part screen,23150000
centrifugal separation equipment part screen,23150000
electromechanical vibrator,23150000
urethane profile vibratory separation screen,23150000
profile wire vibratory separation screen,23150000
punch plate vibratory separation screen,23150000
urethane coat punch plate vibratory screen,23150000
urethane rubber wire vibratory screen,23150000
woven wire vibratory separation screen,23150000
urethane coat woven wire vibratory screen,23150000
vibro shifter,23150000
rotary table,23150000
stack stand,23150000
engine component test stand,23150000
machine guarding,23150000
band saw table,23150000
barrier guard,23150000
wrap machinery,23150000
form fill seal machinery,23150000
packaging vacuum,23150000
packaging hopper,23150000
carton form machine,23150000
tap machine,23150000
package machinery supply,23150000
bottle wash machine,23150000
commodity sort machine,23150000
automatic bag making machine,23150000
shoe closing machine,23150000
bottle cap machine,23150000
can seamer,23150000
calibration jig,23150000
guide jig,23150000
master jig,23150000
needle jig,23150000
shaft jig,23150000
check jig,23150000
set jig,23150000
camera jig,23150000
pickup jig,23150000
removal jig,23150000
nozzle jig,23150000
slide jig,23150000
center jig,23150000
inspect jig,23150000
feeder jig,23150000
clutch jig,23150000
alignment jig,23150000
position jig,23150000
lifter plate,23150000
tape guide,23150000
tape feed jaw,23150000
power feeder,23150000
feeder harness,23150000
feed jaw,23150000
mechanical gripper,23150000
holder jaw,23150000
jaw assembly,23150000
stationary jaw,23150000
jig block,23150000
linear motion guide,23150000
measure jig,23150000
ring jig,23150000
throat plate,23150000
machine rail,23150000
finger plate,23150000
keeper plate,23150000
feed roll assembly,23150000
trestle,23150000
machine rail carriage,23150000
pitch stopper,23150000
paper stopper,23150000
stopper pad,23150000
machine way wiper,23150000
machine mount vibration isolators,23150000
wear plate bar strip,23150000
dust deflector,23150000
sprocket hub,23150000
feed drive roller,23150000
feed roller cover,23150000
saw dust chute,23150000
machinery dust cover,23150000
cut chip head,23150000
guide bed,23150000
link arm,23150000
electro discharge machine edm wire,23150000
accordion bellow,23150000
spray nozzle,23150000
spray block,23150000
spray gun,23150000
paint robot,23150000
pick place robot,23150000
sealant adhesive robot,23150000
weld robot,23150000
machine tend robot,23150000
material removal robot,23150000
clean robot,23150000
adhesive glue application system,23150000
assembly fixture,23150000
specialty assembly,23150000
assembly system chassis vehicle operation vo,23150000
unlimited component assembly,23150000
powertrain complete line,23150000
surface mount device,23150000
fill test,23150000
non portable nutrunner multispindle,23150000
body skid,23150000
tire mount inflating,23150000
gullotine shear,23150000
glass insertion pick pu application,23150000
articulate lazy arm,23150000
automatic chassis decking,23150000
flexible component,23150000
miscellaneous assembly machine,23150000
custom assembly fixtures tool,23150000
custom single station machine,23150000
wire cable assembly machine,23150000
twister strand machine,23150000
paint application system,23150000
paint booth repair,23150000
paint system oven,23150000
paint plant layout engineering,23150000
turn key paint system,23150000
phosphate e coat paint system,23150000
miscellaneous paint shop,23150000
miscellaneous paint system,23150000
acid etch mark machine,23150000
laser mark machine,23150000
pinstamp mark machine,23150000
laser etch tool,23150000
dot mark machine,23150000
electro etcher marking machine,23150000
mark machine,23150000
electronic tube mark machine,23150000
